mirna_id,DO27767,DO27777,DO27779,DO27783,DO27789,DO27807,DO27809,DO27811,DO27813,DO27815,DO27827,DO27833,DO27851,DO27853,DO27855,DO27857
hsa-let-7a-1_gene,224498.0,279418.0,231928.0,327662.0,388298.0,304322.0,566594.0,798221.0,418382.0,296037.0,24004.0,17021.0,11320.0,33480.0,24085.0,11685.0
hsa-let-7a-1_mature3p,1305.0,122.0,393.0,702.0,103.0,223.0,242.0,158.0,225.0,675.0,6.0,8.0,14.0,11.0,16.0,31.0
hsa-let-7a-1_mature5p,223110.0,279223.0,231497.0,326895.0,388112.0,304034.0,566257.0,797987.0,418073.0,295326.0,23997.0,17011.0,11302.0,33461.0,24067.0,11652.0
hsa-let-7a-1_moR3p,3.0,6.0,1.0,5.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-1_moR5p,5.0,1.0,1.0,25.0,0.0,11.0,0.0,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-2_gene,232560.0,289258.0,238979.0,339557.0,411370.0,317774.0,601969.0,833026.0,439378.0,305934.0,24033.0,17014.0,11239.0,33513.0,24093.0,11671.0
hsa-let-7a-2_mature3p,15.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-2_mature5p,232365.0,289177.0,238878.0,339455.0,411122.0,317627.0,601631.0,832637.0,439183.0,305852.0,24026.0,17013.0,11237.0,33493.0,24084.0,11671.0
hsa-let-7a-2_moR5p,42.0,21.0,10.0,4.0,38.0,37.0,24.0,29.0,17.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7a-3_gene,224619.0,286434.0,232227.0,327804.0,388382.0,304505.0,566490.0,798371.0,418514.0,295949.0,23998.0,17029.0,11250.0,33531.0,24081.0,11691.0
hsa-let-7a-3_mature3p,1303.0,126.0,391.0,703.0,107.0,227.0,243.0,162.0,226.0,679.0,6.0,8.0,14.0,12.0,16.0,31.0
hsa-let-7a-3_mature5p,223230.0,286236.0,231773.0,326984.0,388203.0,304197.0,566121.0,798153.0,418200.0,295242.0,23990.0,17016.0,11229.0,33511.0,24056.0,11653.0
hsa-let-7a-3_moR3p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3_moR5p,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b_gene,29071.0,10784.0,18462.0,0.0,25002.0,21265.0,41345.0,38639.0,35970.0,14388.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b_mature3p,795.0,121.0,499.0,0.0,339.0,272.0,471.0,417.0,394.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b_mature5p,27295.0,10488.0,17640.0,0.0,24035.0,20413.0,39516.0,37453.0,34908.0,13606.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b_moR5p,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c_gene,8087.0,1155.0,20089.0,0.0,2652.0,1154.0,3765.0,19952.0,5088.0,1816.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c_mature3p,28.0,0.0,8.0,0.0,0.0,0.0,9.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c_mature5p,8006.0,1147.0,20052.0,0.0,2620.0,1134.0,3701.0,19845.0,5062.0,1784.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c_moR3p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c_moR5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d_gene,16184.0,12018.0,4840.0,11688.0,14705.0,14242.0,19854.0,39033.0,12904.0,10132.0,478.0,661.0,358.0,708.0,650.0,482.0
hsa-let-7d_mature3p,4107.0,2278.0,1049.0,2680.0,1131.0,3823.0,2844.0,3580.0,2956.0,2783.0,33.0,57.0,44.0,35.0,33.0,106.0
hsa-let-7d_mature5p,12000.0,9712.0,3774.0,8958.0,13539.0,10351.0,16959.0,35336.0,9914.0,7331.0,444.0,604.0,314.0,672.0,617.0,375.0
hsa-let-7d_moR3p,7.0,4.0,6.0,0.0,3.0,24.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d_moR5p,24.0,1.0,7.0,0.0,0.0,7.0,1.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7e_gene,17045.0,12969.0,7186.0,8337.0,27677.0,10390.0,14718.0,25110.0,11652.0,5057.0,20678.0,130.0,148.0,31851.0,312.0,183.0
hsa-let-7e_mature3p,125.0,26.0,38.0,67.0,41.0,39.0,62.0,44.0,33.0,37.0,2.0,1.0,0.0,1.0,1.0,1.0
hsa-let-7e_mature5p,16885.0,12914.0,7140.0,8266.0,27577.0,10327.0,14625.0,25038.0,11600.0,5019.0,20675.0,129.0,148.0,31850.0,311.0,181.0
hsa-let-7e_moR3p,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e_moR5p,2.0,11.0,8.0,7.0,6.0,8.0,1.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7f-1_gene,243512.0,173074.0,161681.0,0.0,406431.0,342168.0,526188.0,1181895.0,382286.0,314730.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-1_mature3p,392.0,40.0,80.0,0.0,85.0,174.0,159.0,194.0,81.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-1_mature5p,242754.0,172979.0,161528.0,0.0,406237.0,341796.0,525807.0,1181432.0,382041.0,314191.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-1_moR3p,4.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-1_moR5p,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2_gene,254870.0,181151.0,168343.0,0.0,432359.0,358634.0,572096.0,1235918.0,404617.0,336054.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2_mature3p,112.0,11.0,68.0,0.0,26.0,33.0,88.0,100.0,48.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2_mature5p,254616.0,181108.0,168230.0,0.0,432234.0,358504.0,571816.0,1235535.0,404477.0,335911.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2_moR5p,63.0,12.0,31.0,0.0,18.0,59.0,43.0,266.0,42.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g_gene,92231.0,56441.0,57311.0,0.0,108158.0,110393.0,204515.0,311294.0,165428.0,113901.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g_mature3p,257.0,38.0,43.0,0.0,7.0,67.0,61.0,40.0,82.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g_mature5p,91843.0,56364.0,57216.0,0.0,108101.0,110263.0,204298.0,311129.0,165241.0,113789.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g_moR3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i_gene,91808.0,39585.0,38931.0,201164.0,151655.0,71398.0,218658.0,163019.0,103993.0,74595.0,4027.0,2118.0,3890.0,4089.0,3972.0,3593.0
hsa-let-7i_mature3p,871.0,198.0,222.0,524.0,213.0,275.0,630.0,419.0,616.0,308.0,8.0,2.0,2.0,13.0,6.0,6.0
hsa-let-7i_mature5p,90747.0,39338.0,38633.0,200489.0,151264.0,71043.0,217730.0,162486.0,103257.0,74208.0,4017.0,2114.0,3874.0,4074.0,3963.0,3581.0
hsa-let-7i_moR3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7i_moR5p,60.0,42.0,421.0,5.0,197.0,92.0,113.0,164.0,132.0,140.0,3.0,1.0,0.0,0.0,0.0,1.0
hsa-mir-1-1_gene,1288.0,59.0,1411.0,19.0,353.0,99.0,91.0,2524.0,428.0,269.0,0.0,2.0,1.0,1.0,0.0,73.0
hsa-mir-1-2_gene,1405.0,60.0,1521.0,22.0,385.0,110.0,95.0,2703.0,463.0,289.0,0.0,2.0,1.0,1.0,0.0,82.0
hsa-mir-1-2_mature3p,1405.0,60.0,1520.0,22.0,384.0,110.0,95.0,2702.0,463.0,289.0,0.0,2.0,1.0,1.0,0.0,82.0
hsa-mir-100-3pmature,94.0,13.0,17.0,143.0,31.0,42.0,42.0,26.0,50.0,6.0,105.0,48.0,34.0,82.0,18.0,17.0
hsa-mir-100-5pmature,626429.0,113152.0,355853.0,13619.0,694413.0,308328.0,463625.0,429358.0,653003.0,159009.0,166030.0,49791.0,21972.0,247370.0,24296.0,24518.0
hsa-mir-100_gene,626695.0,113192.0,355915.0,0.0,694557.0,309105.0,463717.0,430900.0,653112.0,159038.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-100_mature3p,77.0,13.0,16.0,0.0,22.0,41.0,34.0,14.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-100_mature5p,626267.0,113153.0,355774.0,0.0,694379.0,308948.0,463478.0,430766.0,652866.0,158988.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-100_moR3p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-101-1_gene,208924.0,152554.0,132940.0,0.0,261516.0,148382.0,409682.0,298296.0,360761.0,222866.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-101-1_mature3p,208108.0,152444.0,132643.0,0.0,261153.0,148232.0,409353.0,297693.0,360213.0,222499.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-101-1_mature5p,190.0,67.0,103.0,0.0,62.0,76.0,228.0,126.0,297.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-101-1_moR5p,9.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-101-2_gene,182580.0,143183.0,116614.0,0.0,233496.0,130771.0,363814.0,263485.0,314157.0,174781.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-101-2_mature3p,181602.0,142530.0,116074.0,0.0,232032.0,130288.0,361654.0,262193.0,312772.0,173708.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-101-2_mature5p,13.0,5.0,3.0,0.0,4.0,5.0,0.0,7.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-101-2_moR5p,7.0,0.0,0.0,0.0,0.0,7.0,4.0,13.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-101-3pmature,106936.0,78328.0,68096.5,36256.5,134755.5,75752.5,210194.0,152623.0,184651.5,113797.5,12558.5,4505.5,3402.5,51529.5,2816.0,5424.0
hsa-mir-101-5pmature,185.0,66.0,102.0,88.0,62.0,79.0,223.0,125.0,296.0,93.0,67.0,21.0,20.0,211.0,19.0,11.0
hsa-mir-103a-1_gene,150651.0,87920.0,82873.0,0.0,155401.0,112564.0,199836.0,230634.0,150458.0,85292.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-103a-1_mature3p,150587.0,87898.0,82852.0,0.0,155360.0,112536.0,199782.0,230595.0,150410.0,85255.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-103a-1_mature5p,16.0,1.0,7.0,0.0,4.0,5.0,5.0,12.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-103a-1_moR3p,12.0,1.0,4.0,0.0,5.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-103a-1_moR5p,34.0,7.0,31.0,0.0,5.0,41.0,15.0,18.0,9.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-103a-2-5pmature,416.0,37.0,87.0,16.0,61.0,65.0,123.0,68.0,139.0,113.0,12.0,18.0,4.0,20.0,2.0,4.0
hsa-mir-103a-2_gene,130370.0,75050.0,72553.0,0.0,120504.0,96161.0,165150.0,201179.0,125219.0,70504.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-103a-2_mature3p,129656.0,74951.0,72404.0,0.0,120185.0,95985.0,164790.0,200781.0,124964.0,70311.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-103a-2_mature5p,456.0,41.0,92.0,0.0,63.0,73.0,140.0,70.0,147.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-103a-2_moR3p,680.0,86.0,367.0,0.0,177.0,327.0,234.0,279.0,273.0,1119.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-103a-2_moR5p,242.0,39.0,151.0,0.0,118.0,230.0,104.0,259.0,145.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-103a-3pmature,72284.5,39267.5,38315.0,33194.5,71667.0,51253.5,94198.0,97724.5,70139.5,40326.5,11991.0,14252.5,5668.5,15470.0,5249.0,5099.0
hsa-mir-105-1_gene,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-105-1_mature3p,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-105-1_mature5p,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-105-1_moR5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-105-2_gene,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-105-2_mature3p,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-105-2_mature5p,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-105-3pmature,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-mir-105-5pmature,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-106a-3pmature,5.0,7.0,0.0,10.0,2.0,109.0,63.0,340.0,25.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0
hsa-mir-106a-5pmature,253.0,299.0,101.0,175.0,44.0,699.0,674.0,3338.0,337.0,400.0,160.0,87.0,14.0,82.0,40.0,9.0
hsa-mir-106a_gene,376.0,357.0,155.0,0.0,64.0,920.0,854.0,4082.0,422.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-106a_mature3p,0.0,3.0,0.0,0.0,1.0,13.0,14.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-106a_mature5p,365.0,349.0,151.0,0.0,62.0,806.0,787.0,3738.0,396.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-106b-3pmature,13781.0,6412.0,5340.0,5156.0,10973.0,18231.0,8677.0,21809.0,9583.0,72717.0,3289.0,3530.0,1282.0,4124.0,1019.0,2744.0
hsa-mir-106b-5pmature,19161.0,4616.0,5188.0,1842.0,2688.0,7479.0,5197.0,6402.0,5281.0,54033.0,1146.0,2217.0,516.0,1810.0,848.0,1013.0
hsa-mir-106b_gene,33075.0,11083.0,10540.0,7018.0,13710.0,25789.0,13921.0,28348.0,14893.0,126961.0,96.0,205.0,122.0,113.0,202.0,257.0
hsa-mir-106b_mature3p,11052.0,5494.0,4091.0,2552.0,9797.0,12133.0,6686.0,13796.0,7390.0,59328.0,31.0,67.0,40.0,37.0,46.0,139.0
hsa-mir-106b_mature5p,19227.0,4652.0,5186.0,1849.0,2700.0,7503.0,5218.0,6442.0,5296.0,54045.0,38.0,96.0,43.0,41.0,111.0,79.0
hsa-mir-106b_moR3p,89.0,4.0,31.0,1.0,6.0,76.0,4.0,51.0,21.0,256.0,0.0,0.0,1.0,0.0,2.0,0.0
hsa-mir-106b_moR5p,93.0,8.0,69.0,21.0,13.0,47.0,14.0,38.0,27.0,347.0,0.0,2.0,2.0,0.0,1.0,7.0
hsa-mir-107_gene,36101.0,37991.0,24106.0,13321.0,41926.0,35038.0,44042.0,114666.0,36253.0,19589.0,98.0,157.0,201.0,183.0,140.0,139.0
hsa-mir-107_mature3p,35608.0,37737.0,24050.0,13316.0,41900.0,34952.0,43982.0,114480.0,36183.0,19411.0,98.0,157.0,201.0,183.0,140.0,139.0
hsa-mir-107_mature5p,483.0,241.0,48.0,4.0,15.0,81.0,52.0,181.0,67.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-107_moR5p,30.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-107mature,17348.0,17817.0,9555.0,5160.0,15843.0,13443.0,16283.0,42686.0,13632.0,9055.0,1714.0,1603.0,966.0,3007.0,628.0,1055.0
hsa-mir-10a-3pmature,655.0,366.0,101.0,78.0,37.0,124.0,62.0,39.0,61.0,98.0,36.0,15.0,6.0,42.0,3.0,51.0
hsa-mir-10a-5pmature,3206502.0,3558596.0,760991.0,228547.0,958213.0,702888.0,991494.0,930829.0,787318.0,936233.0,153345.0,96296.0,58315.0,307789.0,29550.0,181898.0
hsa-mir-10a_gene,3209773.0,3560085.0,761248.0,0.0,958665.0,703119.0,991862.0,932210.0,787676.0,936491.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-10a_mature3p,653.0,363.0,99.0,0.0,41.0,127.0,63.0,39.0,61.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-10a_mature5p,3208698.0,3559514.0,760938.0,0.0,958420.0,702924.0,991667.0,931943.0,787568.0,936235.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-10a_moR3p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-10a_moR5p,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-10b-3pmature,109.0,14.0,41.0,58.0,22.0,12.0,32.0,43.0,64.0,17.0,175.0,90.0,20.0,497.0,22.0,54.0
hsa-mir-10b-5pmature,2783409.0,1572591.0,2029673.0,636941.0,3994835.0,559674.0,2577636.0,3528233.0,3100520.0,1614928.0,910844.0,627829.0,282413.0,2790594.0,184868.0,318715.0
hsa-mir-10b_gene,3187983.0,1573746.0,2029977.0,637297.0,3995648.0,559805.0,2578027.0,3529938.0,3101033.0,1615157.0,23355.0,14840.0,21348.0,57454.0,14388.0,22620.0
hsa-mir-10b_mature3p,107.0,14.0,42.0,58.0,22.0,12.0,32.0,39.0,63.0,17.0,5.0,2.0,3.0,10.0,2.0,4.0
hsa-mir-10b_mature5p,3187612.0,1573658.0,2029831.0,637211.0,3995443.0,559722.0,2577854.0,3529738.0,3100843.0,1615070.0,23347.0,14835.0,21342.0,57443.0,14384.0,22614.0
hsa-mir-10b_moR5p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1179_gene,17.0,6.0,8.0,2.0,4.0,6.0,14.0,7.0,11.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-mir-1179_mature5p,17.0,6.0,8.0,2.0,4.0,6.0,14.0,7.0,11.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-mir-1179_moR5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1179mature,17.0,6.0,8.0,2.0,4.0,6.0,14.0,7.0,11.0,8.0,6.0,5.0,3.0,18.0,0.0,1.0
hsa-mir-1180_gene,55.0,38.0,56.0,47.0,36.0,17.0,33.0,45.0,22.0,65.0,2.0,8.0,1.0,1.0,0.0,1.0
hsa-mir-1180_mature3p,52.0,37.0,50.0,47.0,31.0,17.0,30.0,44.0,19.0,60.0,2.0,8.0,1.0,1.0,0.0,1.0
hsa-mir-1180_mature5p,3.0,1.0,6.0,0.0,5.0,0.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1180mature,52.0,37.0,50.0,47.0,31.0,17.0,30.0,44.0,19.0,60.0,61.0,152.0,9.0,120.0,20.0,18.0
hsa-mir-1181_gene,4.0,4.0,10.0,0.0,7.0,18.0,7.0,8.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1181_moR3p,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1181mature,2.0,2.0,5.0,1.0,3.0,7.0,4.0,6.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-mir-1183_gene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-mir-1183_mature3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1183mature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1185-1-3pmature,77.0,1.0,26.0,62.0,4.0,14.0,5.0,3.0,13.0,13.0,3.0,6.0,1.0,7.0,0.0,9.0
hsa-mir-1185-1_gene,348.0,11.0,128.0,0.0,35.0,90.0,62.0,30.0,56.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1185-1_mature3p,82.0,1.0,27.0,0.0,5.0,14.0,6.0,3.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1185-1_mature5p,263.0,10.0,101.0,0.0,30.0,76.0,56.0,27.0,43.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1185-1_moR5p,16.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1185-2-3pmature,16.0,0.0,14.0,11.0,3.0,2.0,2.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-mir-1185-2_gene,287.0,10.0,116.0,0.0,34.0,78.0,59.0,28.0,46.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1185-2_mature3p,21.0,0.0,15.0,0.0,4.0,2.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1185-2_mature5p,263.0,10.0,101.0,0.0,30.0,76.0,56.0,27.0,43.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
