icgc_donor_id,mirna_id,normalized_read_count,raw_read_count
DO27851,hsa-mir-200b-5pmature,1.6850972619416299e-06,9
DO27851,hsa-mir-200b-3pmature,6.12252005172125e-05,327
DO27851,hsa-mir-200a-5pmature,7.48932116418502e-07,4
DO27851,hsa-mir-200a-3pmature,8.10719016023028e-05,433
DO27851,hsa-mir-429mature,7.489321164185022e-06,40
DO27851,hsa-mir-551amature,1.87233029104625e-07,1
DO27851,hsa-mir-34a-3pmature,2.05956332015088e-06,11
DO27851,hsa-mir-34a-5pmature,0.000439623152337661,2348
DO27851,hsa-mir-4632mature,3.74466058209251e-07,2
DO27851,hsa-mir-378fmature,5.61699087313876e-07,3
DO27851,hsa-mir-4425mature,5.61699087313876e-07,3
DO27851,hsa-mir-3917mature,5.61699087313876e-07,3
DO27851,hsa-mir-1976mature,4.11912664030176e-06,22
DO27851,hsa-mir-4420mature,1.6850972619416299e-06,9
DO27851,hsa-mir-3605-3pmature,2.43402937836013e-06,13
DO27851,hsa-mir-3605-5pmature,1.497864232837e-06,8
DO27851,hsa-mir-5581-3pmature,1.87233029104625e-07,1
DO27851,hsa-mir-30e-5pmature,0.006087694708307789,32514
DO27851,hsa-mir-30e-3pmature,0.000864829361434265,4619
DO27851,hsa-mir-30c-5pmature,0.0006244221520639259,3335
DO27851,hsa-mir-30c-1-3pmature,6.92762207687114e-06,37
DO27851,hsa-mir-4781-3pmature,3.74466058209251e-07,2
DO27851,hsa-mir-4422mature,1.87233029104625e-07,1
DO27851,hsa-mir-101-3pmature,0.000702123859142345,3750
DO27851,hsa-mir-101-5pmature,3.744660582092511e-06,20
DO27851,hsa-mir-3117-3pmature,3.74466058209251e-07,2
DO27851,hsa-mir-1262mature,1.87233029104625e-07,1
DO27851,hsa-mir-186-3pmature,7.48932116418502e-07,4
DO27851,hsa-mir-186-5pmature,0.0050141005194218715,26780
DO27851,hsa-mir-4423-3pmature,9.36165145523127e-07,5
